Id,SleepDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4445114986,2016-04-14,1,441,492
4445114986,2016-04-20,1,439,462
4445114986,2016-04-25,1,328,345
4445114986,2016-05-03,2,417,450
4702921684,2016-04-30,1,479,501
6117666160,2016-05-07,2,498,507
8792009665,2016-04-30,1,343,360
4319703577,2016-04-19,2,461,498
4702921684,2016-04-12,1,425,439
6117666160,2016-05-01,1,507,575
7086361926,2016-04-14,1,472,476
8378563200,2016-05-10,1,342,391
1503960366,2016-04-19,1,304,320
3977333714,2016-04-17,1,381,566
4445114986,2016-04-29,1,106,108
8792009665,2016-05-04,1,439,463
1503960366,2016-04-30,1,404,425
1503960366,2016-05-02,1,277,309
2026352035,2016-04-13,1,531,565
7086361926,2016-05-11,1,451,463
2026352035,2016-04-15,1,523,573
2026352035,2016-05-01,1,527,546
2347167796,2016-04-18,1,500,557
4319703577,2016-04-15,1,465,491
1503960366,2016-04-13,2,384,407
5577150313,2016-04-16,1,406,445
7086361926,2016-04-28,1,354,367
2026352035,2016-04-20,1,461,510
4445114986,2016-05-01,2,439,459
5553957443,2016-05-09,1,453,494
6117666160,2016-04-23,1,492,539
1503960366,2016-05-11,1,285,306
4020332650,2016-05-04,1,478,536
4558609924,2016-04-21,1,126,137
6962181067,2016-04-29,1,433,447
8378563200,2016-05-02,1,351,385
1927972279,2016-04-26,1,296,315
3977333714,2016-05-07,1,237,443
4388161847,2016-05-11,1,469,494
4702921684,2016-05-04,1,412,434
5577150313,2016-04-23,1,384,402
1927972279,2016-04-12,3,750,775
3977333714,2016-05-04,1,213,336
4020332650,2016-05-05,1,226,248
4388161847,2016-05-04,1,390,414
4702921684,2016-04-24,1,480,506
7086361926,2016-04-21,1,390,411
8053475328,2016-04-23,1,331,337
8378563200,2016-04-30,1,468,555
8378563200,2016-05-12,1,496,546
3977333714,2016-04-23,1,235,372
4388161847,2016-04-15,1,499,526
5553957443,2016-04-24,2,553,640
7086361926,2016-04-30,1,485,489
3977333714,2016-04-24,1,310,526
